"dataset","network_input","sample_unit","benign","fine_attack_count","coarse_count","per_class_sample_counts","unknown_class_holdout_possible","sample_level_fewshot_possible","exact_duplicate_control_possible","data_obtainable","rag_description_possible","minimal_gate_status","minimal_gate_reason","run_id_available","group_split_possible","group_level_fewshot_possible","known_shortcut_risk","pcap_available","hierarchy_available","enhanced_gate_status","enhanced_gate_reason","recommended_role","evidence_quality"
"NF-ToN-IoT-v3","NetFlow-v3 CSV","bidirectional NetFlow record","YES","9","9 attack categories","official exact counts; smallest Ransomware=3971","YES","YES","YES","YES; official UQ download","YES","PASS_MINIMAL_NARROW","M1/M2/M4-M8 pass; 9 attack classes fall in the 8-11 narrow band","NO in v3 table","WEAK; source/time proxies only","NO_VERIFIED","HIGH: IP/port/time and scenario source","YES in original ToN-IoT release","NO official fine/coarse hierarchy","PARTIAL_ENHANCED","Useful PCAP provenance and exact flow labels, but no activity IDs or verified group-level few-shot","narrow closed/open-set baseline and external Flow comparison","HIGH"
"NF-CSE-CIC-IDS2018-v3","NetFlow-v3 CSV","bidirectional NetFlow record","YES","6","6 attack categories","official exact counts; all attack categories have many flows","YES_WITH_FEW_CLASSES","YES","YES","YES; official UQ download","YES","FAIL_MINIMAL","Only 6 attack categories, below M3 minimum of 8","NO in v3 table","WEAK; original day/source proxies","NO_VERIFIED","HIGH: day/IP/port/attack script","YES in original CSE-CIC-IDS2018","LIMITED","FAIL_ENHANCED","Fails the base class-diversity gate despite useful PCAP provenance","binary or six-class external baseline only","HIGH"
"NF-BoT-IoT-v3","NetFlow-v3 CSV","bidirectional NetFlow record","YES","4","4 attack categories","official exact counts; all four attack categories have many flows","NO_FOR_REQUIRED_CLASS_BUDGET","YES","YES","YES; official UQ download","YES","FAIL_MINIMAL","Only Reconnaissance, DDoS, DoS and Theft; below M3 minimum","NO in v3 table","WEAK; source/time proxies","NO_VERIFIED","HIGH: attack generator/IP/port","YES in original BoT-IoT","LIMITED","FAIL_ENHANCED","Fails base class diversity and lacks activity-level grouping","binary/coarse external baseline only","HIGH"
"UWF","Flow/Zeek conn-style Parquet","labeled Flow record","YES","27 nominal; 16 have at least 11 records","ATT&CK parent techniques","locally audited exact counts; 16 labels meet minimal support+query record floor","YES","YES","YES; duplicate UID/Flow keys were quantified","YES; official UWF portal","YES; ATT&CK IDs and descriptions","PASS_MINIMAL","Direct per-flow parent-Technique labels and enough sample records support a sample-level open-set study","NO official activity ID","PARTIAL via version+week/file proxies","PARTIAL_ONLY","VERY_HIGH: version/week/source/port; T1110 nearly fixed to port 4848","UNKNOWN_NOT_REQUIRED","YES; ATT&CK parent labels","PARTIAL_ENHANCED","Group proxies and ATT&CK semantics exist, but no official activity IDs and shortcut risk is material","ATT&CK-labelled auxiliary or conditional limited-coverage main study","HIGH"
"CasinoLimit","Flow CSV plus relation/ground-truth artifacts","Flow candidate with uncertain relation-to-label join","YES nominally","many ATT&CK relations nominally; reliably joined network labels below gate","ATT&CK technique relations","local join audit found insufficient reliable relation-to-Flow coverage","NO_RELIABLE_CLASS_ISOLATION","NO_RELIABLE_LABELS","YES","YES; local archive audited","YES for ATT&CK definitions","FAIL_MINIMAL","M2 fails: attack relation labels cannot be mapped reliably enough to the network sample unit","PARTIAL metadata only","NO_RELIABLE_FLOW_GROUP","NO","HIGH: file/relation/source identity","YES","YES nominally","FAIL_ENHANCED","Run metadata cannot compensate for an unreliable sample-label join","retain only as join-method or provenance case study","HIGH"
"CAM-LDS","officially stated NetFlow/network logs; direct sample not verified","simulation run and attack step; Flow join unverified","NO normal simulation runs","81 ATT&CK techniques nominal; network-mapped usable count unknown","7 scenarios","34 runs distributed 18/2/6/1/1/5/1","NO","NO_FOR_MAIN_TASK","UNKNOWN_FOR_FLOW_ROWS","YES; Zenodo CC BY 4.0","YES","FAIL_MINIMAL","M2/M4 fail: no Benign run and no verified direct NetFlow-to-step label join","YES; 34 runs","YES at run level","LIMITED_BY_SPARSE_SCENARIOS","HIGH","YES/official network artifacts stated","YES; ATT&CK","FAIL_ENHANCED","Strong run metadata but base supervised network task is not established","optional run-level attack case study after a small join probe","HIGH_FOR_RUNS_MEDIUM_FOR_FLOW"
"CICIoT2023","network statistical CSV and source PCAP","fixed-packet attack-scenario network statistical window","YES","33","7 attack groups","official exact per-class window counts; minimum exceeds 1200","YES","YES","YES","YES; UNB CIC official access","YES","PASS_MINIMAL","33 labeled attack-scenario window classes, Benign and sufficient distinct windows satisfy M1-M8","NO independent run ID","NO reliable activity groups","NO","VERY_HIGH: one attack experiment per class and 10/100-packet class-dependent windows","YES","YES","PARTIAL_ENHANCED","Excellent minimal class coverage, but class-specific windowing and absent run IDs block strong generalization claims","main-candidate controlled sample-level open-set benchmark; window-artifact ablation mandatory","HIGH"
"DataSense 2025","PCAP-derived network records; synchronized sensors optional","packet/capture/component segment or fixed network window with attack-scenario label","YES; 12 hours","49","7 attack groups","official per-attack packet/log counts; exact derived Flow counts not published but record volume is ample","YES","YES","YES after unified extraction","YES; official registration portal","YES","PASS_MINIMAL","Network PCAP alone can provide scenario-labelled samples; sensors are not required for the minimal network-only task","UNKNOWN","UNKNOWN until archive manifest inspection","UNKNOWN","HIGH: target component/IP/file and benign 10-second slicing","YES","YES","PARTIAL_ENHANCED","Broad hierarchy and PCAP are strong, but run manifest, exact Flow labels and group-level few-shot remain unverified","formal main-dataset candidate after archive/schema probe","MEDIUM_HIGH"
"CICIoMT2024","official PCAP and extracted network CSV","PCAP-derived fixed-packet network window/record","YES","18","5 attack groups","official class distribution; all 18 attack types exceed minimal record need","YES","YES","YES","YES; UNB CIC official registration","YES","PASS_MINIMAL","18 network attack labels, Benign, PCAP/CSV and ample samples satisfy the minimal sample-level task","NO run manifest","PARTIAL via official files/train-test only","NO_VERIFIED","HIGH: protocol/device/file and 10/100-packet class-dependent windows","YES","YES","PARTIAL_ENHANCED","Strong network taxonomy and artifacts, but no independent run manifest and official windows are class dependent","priority formal main-dataset candidate with window and shortcut audits","HIGH"
"X-IIoTID","mixed-source CSV with usable network feature subset","timestamped/UID-correlated record; use only network-visible columns","YES; 421417 records","18","9 attack groups","official paper class counts; smallest fine labels still exceed minimal support/query need","YES","YES","YES","YES; author repository provides official dataset link","YES","PASS_MINIMAL","A network-only feature subset can support 18 scenario-labelled attack classes; host/resource columns must be excluded and claims scoped accordingly","NO public run manifest","WEAK via dates/timestamps","NO_VERIFIED","VERY_HIGH: mixed-source, identity and scenario fields","UNKNOWN","YES","PARTIAL_ENHANCED","Hierarchy and sample volume are strong, but pure-network semantics and run-disjoint evaluation require extra audit","third formal main candidate; freeze a network-only schema before use","MEDIUM_HIGH"
"GeNIS","PCAPNG and multi-window Flow CSV","labeled Flow at 5/10/30/60-second aggregation","YES","10","3 attack groups","original Table 12 gives exact counts; smallest class at least 20 records","YES","YES","YES","YES; Zenodo","YES","PASS_MINIMAL_NARROW","Ten attack classes and adequate records meet the 8-11 narrow band","capture/scenario metadata partial","PARTIAL","LIMITED","MEDIUM: scenario/target/window","YES","YES","PARTIAL_ENHANCED","Good provenance, PCAP and multiple windows, but only ten classes and limited independent repetition","narrow pilot, pipeline dry-run or reserve main dataset","HIGH"
"Gotham 2025","device PCAP and packet CSV; can derive Flow","packet/device-interface capture with scripted attack-event label","YES","at least 12 verified/nominal attack labels; 16 attack-side strings reported in secondary count audit","5 attack groups","published label counts are above minimal record floor; canonical fine list still needs freeze","YES","YES","YES with cross-interface dedup","YES; Zenodo","YES","PASS_MINIMAL","Pure network records, Benign and at least 12 sufficiently populated attack labels support the minimal study","attack orchestration metadata exists; independent run IDs incomplete","PARTIAL if grouped by attack event","UNKNOWN","VERY_HIGH: same event observed at multiple device interfaces; device/IP shortcuts","YES","YES","PARTIAL_ENHANCED","Modern hierarchical network data, but event duplication and per-class independent runs need audit","reserve formal main candidate after event-manifest and dedup audit","MEDIUM_HIGH"
"CICAPT-IIoT2024","PCAP/Flow plus provenance and host logs","packet/Flow/provenance event in one APT campaign","YES","over 20 ATT&CK techniques nominal; fewer than 12 confirmed network-observable","8 tactics","nominal event volume exists; network-only per-technique support not established","NO_FOR_VERIFIED_NETWORK_CLASSES","NO_VERIFIED","YES","YES; UNB CIC official access","YES","FAIL_MINIMAL","M2/M3 fail for the Flow-only target: many technique labels require host/provenance evidence and fewer than 12 network-observable fine classes are confirmed","capture/step metadata partial","PARTIAL","NO for repeated activity groups","HIGH","YES","YES; ATT&CK","FAIL_ENHANCED","Good provenance assets do not establish the required network-only class task","multi-source APT auxiliary analysis only","HIGH"
"Multi-Source Cybersecurity Logs","network plus mandatory system/browser logs","cross-source event/session/chunk","YES","53 ATT&CK techniques nominal","12 tactics","paper-level counts only; official executable dataset access not found","NO_FOR_NETWORK_ONLY","NO_FOR_NETWORK_ONLY","UNKNOWN","NO official dataset repository verified","YES","FAIL_MINIMAL","M1/M2/M7 fail: technique semantics require cross-source telemetry and no official downloadable release was verified","YES in paper description","YES in multi-source design","POSSIBLE_NOT_NETWORK_ONLY","HIGH","UNKNOWN","YES","FAIL_ENHANCED","Outside the Flow-only task and not presently obtainable as a verified official dataset","literature reference for multi-source extension only","HIGH_FOR_PAPER_LOW_FOR_ACCESS"
"Windows-APT 2025","Wazuh/Sysmon host and security events","host log event/scenario","YES","36 APT-inspired scenarios nominal; network-only fine count below 12","ATT&CK tactics/techniques","scenario and log counts available","NO_FOR_NETWORK_ONLY","NO_FOR_NETWORK_ONLY","YES","YES; Mendeley CC BY 4.0","YES","FAIL_MINIMAL","M1 fails: the sample unit and fine semantics are host/system telemetry rather than network Flow","YES","YES","POSSIBLE_FOR_HOST_TASK","HIGH","NO","YES","FAIL_ENHANCED","Strong host-level provenance but incompatible with the network-only research input","out of scope; host-telemetry extension only","HIGH"
"TQH-C2","PCAP, Zeek Flow logs and Parquet features","per-flow label inside one of 36 capture cells","YES in every cell","3 malicious labels: C2/lateral/recon","C2-centric labels","A+C have 218227 flows and 24842 C2 positives; B reports hundreds of C2 flows per cell","NO_FOR_REQUIRED_CLASS_BUDGET","YES for three labels","YES","YES; Zenodo CC BY 4.0","YES","FAIL_MINIMAL","Only three malicious fine labels, below M3 despite excellent record volume and provenance","YES; 36 cells","YES","YES within three labels","MEDIUM: profile/fingerprint/interval","YES","PARTIAL","FAIL_ENHANCED","R1/R6-R12 are unusually strong, but the base attack-class diversity requirement fails","cross-profile encrypted-C2 robustness auxiliary dataset","HIGH"
"CSTNET 2023","encrypted network packet/session traces","encrypted traffic sequence for OTT/application signature classification","NOT VERIFIED AS IDS BENIGN","0 verified attack fine labels; later traffic papers describe website/application classes","application/website semantics","official DOI metadata gives no attack-class counts or label table","NO","NO_FOR_ATTACK_TASK","UNKNOWN","YES via IEEE DataPort record; file details not verified","NO_FOR_ATTACK_RAG","FAIL_MINIMAL","Official DOI metadata defines OTT/application-signature analysis, not Benign plus attack-family recognition; M2/M3 fail","UNKNOWN","UNKNOWN","UNKNOWN","HIGH: website/application identity","UNKNOWN","NO attack hierarchy verified","FAIL_ENHANCED","Task semantics are application identification rather than malicious Flow open recognition","do not continue as main candidate; possible representation-pretraining reference only","MEDIUM_HIGH"
